Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Mineral Metabolism Measure Score,Mineral Metabolism Reason for No Score (See Footnotes File),State Average Mineral Metabolism Measure Score,National Average Mineral Metabolism Measure Score
FMC MONROEVILLE (WHETSTONE),012540,-,676 S ALABAMA AVE,MONROEVILLE,AL,36460,8,MINERAL METABOLISM,9,-,9,9
FMC DADEVILLE,012541,-,52 WATERWORKS RD,DADEVILLE,AL,36853,8,MINERAL METABOLISM,10,-,9,9
RAINBOW CITY DIALYSIS,012542,-,2800 RAINBOW DRIVE,RAINBOW CITY,AL,35906,8,MINERAL METABOLISM,8,-,9,9
DEMOPOLIS DIALYSIS,012543,-,511 S CEDAR STREET,DEMOPOLIS,AL,36732,8,MINERAL METABOLISM,9,-,9,9
OZARK DIALYSIS,012544,-,195 BUNTING DRIVE,OZARK,AL,36360,8,MINERAL METABOLISM,9,-,9,9
TUSCALOOSA DIALYSIS,012545,-,805 OLD MILL STREET,TUSCALOOSA,AL,35401,8,MINERAL METABOLISM,9,-,9,9
FMC TUSKEGEE,012546,-,802 E. MARTIN LUTHER KING HWY,TUSKEGEE,AL,36083,8,MINERAL METABOLISM,10,-,9,9
FMC EASTERN SHORE,012547,-,124 PROFESSIONAL PARK DR,FAIRHOPE,AL,36532,8,MINERAL METABOLISM,10,-,9,9
FAYETTE DIALYSIS,012548,-,2450 TEMPLE AVE N,FAYETTE,AL,35555,8,MINERAL METABOLISM,8,-,9,9
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,012549,-,1205 BELLEVILLE AVE.,BREWTON,AL,36426,8,MINERAL METABOLISM,8,-,9,9
GREENE COUNTY DIALYSIS,012550,-,544 HIGHWAY 43,EUTAW,AL,35462,8,MINERAL METABOLISM,10,-,9,9
SHEFFIELD DIALYSIS,012551,-,1120 S JACKSON HWY STE 107,SHEFFIELD,AL,35660,8,MINERAL METABOLISM,10,-,9,9
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,012552,-,65 NORTH CATHERINE STREET,MOBILE,AL,36604,8,MINERAL METABOLISM,10,-,9,9
PCD ELMORE COUNTY,012553,-,125 HOSPITAL DRIVE,WETUMPKA,AL,36092,8,MINERAL METABOLISM,10,-,9,9
"NNA OF ALABAMA, INC",012556,-,7067 VETERANS PKWY SUITE 120,PELL CITY,AL,35125,8,MINERAL METABOLISM,9,-,9,9
PCD EAST MONTGOMERY,012557,-,6890 WINTON BLOUNT BLVD,MONTGOMERY,AL,36117,8,MINERAL METABOLISM,9,-,9,9
DCI DECATUR,012558,-,1601 6TH AVENUE SOUTH EAST,DECATUR,AL,35601,8,MINERAL METABOLISM,10,-,9,9
FMC UNIVERSITY SOUTH ALABAMA,012559,-,700 CLINIC DRIVE,MOBILE,AL,36688,8,MINERAL METABOLISM,10,-,9,9
FMC LAKEVIEW,012561,-,"45 MEDICAL PARK DR., STE A",GUNTERSVILLE,AL,35976,8,MINERAL METABOLISM,10,-,9,9
DCI PELL CITY,012562,-,62 COGSWELL DRIVE,PELL CITY,AL,35125,8,MINERAL METABOLISM,10,-,9,9
DCI CULLMAN,012563,-,1734 EVA ROAD NE,CULLMAN,AL,35055,8,MINERAL METABOLISM,10,-,9,9
SOUTH BALDWIN DIALYSIS CENTER,012565,-,150 W PEACHTREE AVE,FOLEY,AL,36535,8,MINERAL METABOLISM,6,-,9,9
FMC SYLACAUGA,012566,-,314 WEST SPRING STREET,SYLACAUGA,AL,35150,8,MINERAL METABOLISM,9,-,9,9
FMC PARKWAY,012568,-,1311 N MEMORIAL PKWY STE 100,HUNTSVILLE,AL,35801,8,MINERAL METABOLISM,10,-,9,9
NORTHPORT DIALYSIS,012570,-,2401 HOSPITAL DRIVE,NORTHPORT,AL,35476,8,MINERAL METABOLISM,10,-,9,9
DCI GEORGIANA,012571,-,P O BOX 618,GEORGIANA,AL,36033,8,MINERAL METABOLISM,10,-,9,9
FMC CAMELLIA,012572,-,350 PAUL STABLER DRIVE,GREENVILLE,AL,36037,8,MINERAL METABOLISM,10,-,9,9
DCI BIRMINGHAM,012573,-,8713 PARKWAY EAST,BIRMINGHAM,AL,35206,8,MINERAL METABOLISM,10,-,9,9
FMC CHAMBERS,012574,-,802 HOSPITAL STREET,LAFAYETTE,AL,36862,8,MINERAL METABOLISM,10,-,9,9
RCG WALKER,012575,-,3510 3RD STREET NE,JASPER,AL,35504,8,MINERAL METABOLISM,10,-,9,9
DCI MONTGOMERY,012576,-,544 SOUTH MCDONOUGH STREET,MONTGOMERY,AL,36104,8,MINERAL METABOLISM,10,-,9,9
RCG SOUTHSIDE,012578,-,2131 MAGNOLIA AVE SOUTH #100,BIRMINGHAM,AL,35205,8,MINERAL METABOLISM,6,-,9,9
FMC DAUPHIN ISLAND PKWY,012579,-,2381 DAUPHIN ISLAND PARKWAY,MOBILE,AL,36605,8,MINERAL METABOLISM,10,-,9,9
FMC THOMASVILLE,012580,-,30230 HWY 43,THOMASVILLE,AL,36784,8,MINERAL METABOLISM,10,-,9,9
FMC WILCOX,012582,-,229 CAMDEN BYPASS,CAMDEN,AL,36726,8,MINERAL METABOLISM,10,-,9,9
BESSEMER DIALYSIS,012583,-,901 WESTLAKE MALL STE 101,BESSEMER,AL,35020,8,MINERAL METABOLISM,8,-,9,9
ENSLEY DIALYSIS,012585,-,2630 AVENUE E,BIRMINGHAM,AL,35218,8,MINERAL METABOLISM,10,-,9,9
SYLACAUGA DIALYSIS,012588,-,331 JAMES PAYTON BLVD,SYLACAUGA,AL,35150,8,MINERAL METABOLISM,10,-,9,9
BIRMINGHAM NORTH DIALYSIS,012589,-,1917 32ND AVENUE NORTH,BIRMINGHAM,AL,35207,8,MINERAL METABOLISM,10,-,9,9
DCI MOULTON,012590,-,1962 MAIN STREET,MOULTON,AL,35650,8,MINERAL METABOLISM,10,-,9,9
FMC SHELBY,012591,-,1022 FIRST STREET NORTH SUITE 101,ALABASTER,AL,35007,8,MINERAL METABOLISM,10,-,9,9
BIRMINGHAM CENTRAL DIALYSIS,012592,-,728 RICHARD ARRINGTON BLVD S,BIRMINGHAM,AL,35233,8,MINERAL METABOLISM,8,-,9,9
FMC ODYSSEY DIALYSIS,012593,-,40 HUGHES ROAD,MADISON,AL,35758,8,MINERAL METABOLISM,10,-,9,9
BOAZ DIALYSIS,012594,-,16 CENTRAL HENDERSON ROAD,BOAZ,AL,35957,8,MINERAL METABOLISM,10,-,9,9
RCG FORT PAYNE,012595,-,2202 JORDAN ROAD SW SUITE 100,FORT PAYNE,AL,35968,8,MINERAL METABOLISM,10,-,9,9
FKC MONTGOMERY,012596,-,1400 NARROW LANE PKWY,MONTGOMERY,AL,36111,8,MINERAL METABOLISM,10,-,9,9
FMC BAY MINETTE,012597,-,2505 HAND AVENUE,BAY MINETTE,AL,36507,8,MINERAL METABOLISM,10,-,9,9
DCI PHENIX CITY,012598,-,1611 21ST COURT,PHENIX CITY,AL,36867,8,MINERAL METABOLISM,10,-,9,9
FMC PORT CITY,012599,-,"201 ST. JOSEPH STREET, SUITE B",MOBILE,AL,36602,8,MINERAL METABOLISM,10,-,9,9
ATMORE DIALYSIS CENTER,012600,-,807 EAST CRAIG STREET,ATMORE,AL,36502,8,MINERAL METABOLISM,10,-,9,9
FMC WEST,012601,-,633 LOMB AVENUE,BIRMINGHAM,AL,35211,8,MINERAL METABOLISM,10,-,9,9
RUSSELLVILLE DIALYSIS,012602,-,14897 HWY 43,RUSSELLVILLE,AL,35653,8,MINERAL METABOLISM,9,-,9,9
FMC FAIRFIELD (STEEL CITY),012603,-,6508 E. J. OLIVER BLVD,FAIRFIELD,AL,35064,8,MINERAL METABOLISM,9,-,9,9
RCG CLANTON,012604,-,275 HEALTH CENTER DRIVE,CLANTON,AL,35045,8,MINERAL METABOLISM,10,-,9,9
FMC CHASE,012606,-,1849 KEATS DRIVE NORTHWEST,HUNTSVILLE,AL,35810,8,MINERAL METABOLISM,9,-,9,9
ROANOKE DIALYSIS CLINIC,012607,-,4459 US HIGHWAY 431,ROANOKE,AL,36274,8,MINERAL METABOLISM,9,-,9,9
RCG ONEONTA,012608,-,"150 GILBREATH DRIVE, SUITE 1",ONEONTA,AL,35121,8,MINERAL METABOLISM,8,-,9,9
EUFAULA DIALYSIS,012609,-,220 SOUTH ORANGE AVE,EUFAULA,AL,36027,8,MINERAL METABOLISM,10,-,9,9
FMC MAGNOLIA,012610,-,7940 MOFFETT ROAD,SEMMES,AL,36575,8,MINERAL METABOLISM,10,-,9,9
FMC DALLAS COUNTY,012611,-,200 SOUTH PARK PL,SELMA,AL,36701,8,MINERAL METABOLISM,10,-,9,9
FMC GARDENDALE,012612,-,592 FIELDSTOWN ROAD SUITE 102,GARDENDALE,AL,35071,8,MINERAL METABOLISM,10,-,9,9
FMC DISCOVERY,012613,-,"1131 EAGLETREE LN, STE100",HUNTSVILLE,AL,35801,8,MINERAL METABOLISM,8,-,9,9
FMC VALLEY CREEK,012614,-,201 LINCOLN LANE,SELMA,AL,36701,8,MINERAL METABOLISM,9,-,9,9
FMC AUBURN,012615,-,211 E UNIVERSITY DR,AUBURN,AL,36832,8,MINERAL METABOLISM,10,-,9,9
LANDMARK DIALYSIS,012616,-,717 STONE AVE,TALLADEGA,AL,35160,8,MINERAL METABOLISM,10,-,9,9
FMC ALEXANDER CITY,012617,-,3368 HWY 280 BYPASS SUITE G-1,ALEXANDER CITY,AL,35010,8,MINERAL METABOLISM,8,-,9,9
RRC NORTHRIDGE,012618,-,4400 WATERMELON ROAD SUITE A,NORTHPORT,AL,35473,8,MINERAL METABOLISM,7,-,9,9
TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS,012619,-,1850 MCFARLAND BLVD NORTH,TUSCALOOSA,AL,35406,8,MINERAL METABOLISM,9,-,9,9
HOME DIALYSIS OF NORTH ALABAMA,012620,-,"1216 SOMMERVILLE ROAD, SE",DECATUR,AL,35601,8,MINERAL METABOLISM,7,-,9,9
RAI-SNOW ST-OXFORD,012621,-,711 SNOW STREET,OXFORD,AL,36203,8,MINERAL METABOLISM,10,-,9,9
DAVITA TALLADEGA,012622,-,726 E BATTLE STREET SUITE A,TALLADEGA,AL,35160,8,MINERAL METABOLISM,8,-,9,9
DAVITA CENTER POINT DIALYSIS,012623,-,2337 1ST ST NE,CENTER POINT,AL,35215,8,MINERAL METABOLISM,10,-,9,9
FMC MIDFIELD DIALYSIS,012624,-,613 BESSEMER SUPER HIGHWAY,BIRMINGHAM,AL,35228,8,MINERAL METABOLISM,10,-,9,9
RAI JACKSONVILLE,012625,-,"331 HENRY RD, S.W.",JACKSONVILLE,AL,36265,8,MINERAL METABOLISM,10,-,9,9
FMC NORTHWEST ALABAMA KIDNEY CENTER,012626,-,638 TAHOE ROAD,WINFIELD,AL,35594,8,MINERAL METABOLISM,8,-,9,9
HOME DIALYSIS OPTIONS OF BALDWIN COUNTY,012627,-,"27880 N. MAIN ST, SUITE A",DAPHNE,AL,36526,8,MINERAL METABOLISM,No Score,1,9,9
OPELIKA DIALYSIS CENTER,012628,-,2340 PEPPERELL PKWY,OPELIKA,AL,36801,8,MINERAL METABOLISM,5,-,9,9
DAVITA RENAISSANCE,012629,-,1840 DARBY DRIVE,FLORENCE,AL,35630,8,MINERAL METABOLISM,9,-,9,9
DAVITA WIREGRASS KIDNEY CENTER,012630,-,1450 ROSS CLARK CIRCLE SUITE 200,DOTHAN,AL,36301,8,MINERAL METABOLISM,8,-,9,9
GULF SHORES DIALYSIS CENTER,012631,-,3947 GULF SHORES PARKWAY,GULF SHORES,AL,36542,8,MINERAL METABOLISM,6,-,9,9
MUSCLE SHOALS DIALYSIS,012632,-,712 STATE STREET,MUSCLE SHOALS,AL,35661,8,MINERAL METABOLISM,10,-,9,9
FMC PRATTVILLE,012633,-,692 COVERED BRIDGE PARKWAY,PRATTVILLE,AL,36066,8,MINERAL METABOLISM,10,-,9,9
FMC FOLEY,012634,-,230 EAST FERN AVENUE,FOLEY,AL,36535,8,MINERAL METABOLISM,10,-,9,9
FMC JAGUAR,012636,-,575 STANTON ROAD UNIT B,MOBILE,AL,36617,8,MINERAL METABOLISM,10,-,9,9
DCI HIGHLAND PARK,012637,-,1912 CHERRY STREET,MONTGOMERY,AL,36107,8,MINERAL METABOLISM,10,-,9,9
FMC HOOVER,012638,-,2104 LORNA RIDGE LANE,HOOVER,AL,35216,8,MINERAL METABOLISM,10,-,9,9
FMC MONTEVALLO,012639,-,3883 HIGHWAY 25,MONTEVALLO,AL,35115,8,MINERAL METABOLISM,8,-,9,9
PICKENS COUNTY DIALYSIS,012640,-,289 WILLIAM E HILL DRIVE SUITE A,CARROLLTON,AL,35447,8,MINERAL METABOLISM,10,-,9,9
DCI EVERGREEN,012641,-,822 WILD AVENUE,EVERGREEN,AL,36401,8,MINERAL METABOLISM,10,-,9,9
DAVITA ENTERPRISE,012642,-,6002 BOLL WEEVIL CIRCLE,ENTERPRISE,AL,36330,8,MINERAL METABOLISM,9,-,9,9
ENDEAVOR DIALYSIS,012643,-,1675 SPARKMAN DRIVE,HUNTSVILLE,AL,35816,8,MINERAL METABOLISM,10,-,9,9
JEWEL DIALYSIS,012644,-,514 W. TOWN PLAZA,BESSEMER,AL,35020,8,MINERAL METABOLISM,9,-,9,9
MAGIC CITY DIALYSIS,012645,-,300 22ND ST. S,BIRMINGHAM,AL,35233,8,MINERAL METABOLISM,9,-,9,9
STEEL CITY DIALYSIS,012646,-,1809 AVENUE H,BIRMINGHAM,AL,35218,8,MINERAL METABOLISM,8,-,9,9
CROWN DIALYSIS,012647,-,3007 27TH STREET NORTH,BIRMINGHAM,AL,35207,8,MINERAL METABOLISM,8,-,9,9
PCD GADSDEN,012648,-,800 GOODYEAR AVENUE,GADSDEN,AL,35903,8,MINERAL METABOLISM,10,-,9,9
PCD OF UNION SPRINGS,012649,-,112 W CONECUH AVE,UNION SPRINGS,AL,36089,8,MINERAL METABOLISM,8,-,9,9
RENAL TREATMENT CENTERS SOUTHEAST LP,012650,-,16236 LUCAS FERRY ROAD,ATHENS,AL,35611,8,MINERAL METABOLISM,5,-,9,9
FMC FORESTDALE,012651,-,1004 FORESTDALE BLVD,BIRMINGHAM,AL,35214,8,MINERAL METABOLISM,9,-,9,9
LEEDS DIALYSIS,012652,-,1650 MAXEY DRIVE,LEEDS,AL,35094,8,MINERAL METABOLISM,9,-,9,9
PHYSICIAN'S CHOICE OF LEE COUNTY,012653,-,5009 RIVERCHASE DRIVE SUITE 300,PHENIX CITY,AL,36867,8,MINERAL METABOLISM,10,-,9,9
BIO-MEDICAL APPLICATIONS OF ALABAMA,012654,-,100 MITYLENE PARK LN,MONTGOMERY,AL,36117,8,MINERAL METABOLISM,10,-,9,9
RENAL TREATMENT CENTERS SOUTHEAST LP,012655,-,757 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,8,MINERAL METABOLISM,9,-,9,9
DCI MITYLENE PARK,012656,-,29 MITYLENE PARK LANE,MONTGOMERY,AL,36117,8,MINERAL METABOLISM,10,-,9,9
"FRESENIUS MEDICAL CARE BIRMINGHAM HOME, LLC",012657,-,35 WEST LAKESHORE DRIVE SUITE 105,BIRMINGHAM,AL,35209,8,MINERAL METABOLISM,8,-,9,9
RENAL TREATMENT CENTERS SOUTHEAST LP,012658,-,40 PURPLE HEART BLVD,SPRINGVILLE,AL,35146,8,MINERAL METABOLISM,9,-,9,9
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",012659,-,9540 PARKWAY E,BIRMINGHAM,AL,35215,8,MINERAL METABOLISM,9,-,9,9
PHYSICIANS CHOICE DIALYSIS OF ATTALLA,012660,-,801 GILBERT FERRY RD SE,ATTALLA,AL,35954,8,MINERAL METABOLISM,10,-,9,9
BMA - CUTLER RIDGE,102721,-,18942 S DIXIE HWY,MIAMI,FL,33157,7,MINERAL METABOLISM,10,-,9,9
"RTC-SOUTHEAST, LP",012661,-,300 MEDICAL CENTER DRIVE SUITE 100,GADSDEN,AL,35903,8,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL CARE,012662,-,114 MITYLENE PARK LANE,MONTGOMERY,AL,36117,8,MINERAL METABOLISM,6,-,9,9
RENAL TREATMENT CENTERS SOUTHEAST LP,012663,-,611 EAST LAFAYETTE STREET,MARION,AL,36756,8,MINERAL METABOLISM,10,-,9,9
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",012664,-,12401 SKOPELOS RD,GRAND BAY,AL,36541,8,MINERAL METABOLISM,10,-,9,9
"RENAL TREATMENT CENTERS SOUTHEAST, LP",012665,-,1023 DOUGLAS AVENUE SUITE 300,BREWTON,AL,36426,8,MINERAL METABOLISM,10,-,9,9
"RTC-SOUTHEAST, LP",012666,-,1612 NOBLE STREET,ANNISTON,AL,36201,8,MINERAL METABOLISM,10,-,9,9
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC.",012667,-,917 B PLANTATION BLVD,FAIRHOPE,AL,36532,8,MINERAL METABOLISM,8,-,9,9
"BAGBY DIALYSIS, LLC",012668,-,671 OZARK ROAD,ABBEVILLE,AL,36310,8,MINERAL METABOLISM,9,-,9,9
"FARRAGUT DIALYSIS, INC",012669,-,2958 DORCHESTER DRIVE,MONTGOMERY,AL,36116,8,MINERAL METABOLISM,9,-,9,9
DVA RENAL HEALTHCARE INC,012670,-,300-B 22ND STREET SOUTH,BIRMINGHAM,AL,35233,8,MINERAL METABOLISM,7,-,9,9
"FRESENIUS MEDICAL CARE HUNTSVILLE HOME, LLC",012671,-,2325 PANSY STREET,HUNTSVILLE,AL,35801,8,MINERAL METABOLISM,10,-,9,9
"FRESENIUS MEDICAL CARE WEST MADISON, LLC",012672,-,29569 HUNTSVILLE BROWNS FERRY RD,MADISON,AL,35756,8,MINERAL METABOLISM,10,-,9,9
CURECANTI DIALYSIS LLC,012673,-,1763 E MAIN STREET,DOTHAN,AL,36301,8,MINERAL METABOLISM,2,-,9,9
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC",012674,-,700 SARA G LOTT BLVD,BRUNDIDGE,AL,36010,8,MINERAL METABOLISM,10,-,9,9
"RENAL TREATMENT CENTERS SOUTHEAST, LP",012676,-,"5406 HIGHWAY 280, SUITE D107",BIRMINGHAM,AL,35242,8,MINERAL METABOLISM,4,-,9,9
"DIALYSIS CLINIC, INC",012677,-,100 W LAKE PROFESSIONAL PARK SUITE 7,GENEVA,AL,36340,8,MINERAL METABOLISM,10,-,9,9
"FRESENIUS MEDICAL CARE MCCALLA, LLC",012678,-,4748 BELL HILL ROAD,BESSEMER,AL,35022,8,MINERAL METABOLISM,8,-,9,9
"RENAL TREATMENT CENTERS SOUTHEAST, LP",012679,-,"505 HIGHWAY 80 W, SUITE F",DEMOPOLIS,AL,36732,8,MINERAL METABOLISM,9,-,9,9
BIO-MEDICAL APPLICATIONS OF ALABAMA,012680,-,1012 FRIENDSHIP ROAD,TALLASSEE,AL,36078,8,MINERAL METABOLISM,6,-,9,9
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",012681,-,11839 HIGHWAY 231-431 NORTH,MERIDIANVILLE,AL,35759,8,MINERAL METABOLISM,10,-,9,9
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",012682,-,"2017 QUINTARD AVE, SUITE B",ANNISTON,AL,36201,8,MINERAL METABOLISM,9,-,9,9
"FRESENIUS MEDICAL CARE ALBERTVILLE, LLC",012684,-,173 BUSINESS PARK DR,ALBERTVILLE,AL,35951,8,MINERAL METABOLISM,10,-,9,9
"SPREWELL DIALYSIS, LLC",012685,-,1724 LEIGHTON AVE,ANNISTON,AL,36207,8,MINERAL METABOLISM,No Score,1,9,9
"FRESENIUS MEDICAL CARE ANNISTON HOME, LLC",012686,-,"2017 QUINTARD AVENUE, SUITE A",ANNISTON,AL,36201,8,MINERAL METABOLISM,6,-,9,9
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",012687,-,"2024 4TH AVE SOUTH, SUITE 100",BIRMINGHAM,AL,35233,8,MINERAL METABOLISM,9,-,9,9
"FRESENIUS MEDICAL CARE TRUSSVILLE, LLC",012688,-,3671 ROOSEVELT BLVD,BIRMINGHAM,AL,35235,8,MINERAL METABOLISM,10,-,9,9
BIO MEDICAL APPLICATIONS OF ALABAMA INC,012689,-,6004 BOLL WEEVIL CIRCLE,ENTERPRISE,AL,36330,8,MINERAL METABOLISM,No Score,"1, 9",9,9
BIO MEDICAL APPLICATIONS OF ALABAMA INC,012690,-,118 OBRANNAN PARK DRIVE,DOTHAN,AL,36303,8,MINERAL METABOLISM,No Score,"1, 8, 9",9,9
BIO MEDICAL APPLICATIONS OF ALABAMA INC,012692,-,2834 SPRING AVENUE SW,DECATUR,AL,35603,8,MINERAL METABOLISM,9,-,9,9
"RENAL TREATMENT CENTERS SOUTHEAST, LP",012693,-,218 MAIN STREET SUITE 114 & 118,TRUSSVILLE,AL,35173,8,MINERAL METABOLISM,3,-,9,9
RENAL TREATMENT CENTERS SOUTHEAST LP,012694,-,1830 LEE AVE SW SUITE B-D,CULLMAN,AL,35055,8,MINERAL METABOLISM,No Score,"1, 2",9,9
BIO MEDICAL APPLICATIONS OF ALABAMA,012695,-,8000 CHARLOTTE DRIVE SW,HUNTSVILLE,AL,35802,8,MINERAL METABOLISM,No Score,2,9,9
BIO-MEDICAL APPLICATIONS OF ALABAMA,012696,-,107 SARALAND LOOP,SARALAND,AL,36571,8,MINERAL METABOLISM,No Score,2,9,9
RENAL TREATMENT CENTERS SOUTHEAST LP,012697,-,"1218 S EULAULA AVE, SUITE 1234",EUFAULA,AL,36027,8,MINERAL METABOLISM,No Score,"1, 2",9,9
FMC ANCHORAGE,022500,-,3950 LAUREL STREET,ANCHORAGE,AK,99508,16,MINERAL METABOLISM,9,-,8,9
FMC FAIRBANKS,022502,-,1863 AIRPORT WAY,FAIRBANKS,AK,99701,16,MINERAL METABOLISM,10,-,8,9
FMC WASILLA,022503,-,3787 E MERIDIAN LOOP,WASILLA,AK,99654,16,MINERAL METABOLISM,8,-,8,9
REIFENSTEIN DIALYSIS CENTER,022504,-,9109 MENDENHALL MALL RD SUITE #6,JUNEAU,AK,99801,16,MINERAL METABOLISM,8,-,8,9
LIBERTY DIALYSIS - ALASKA LLC,022506,-,901 EAST DIMOND BOULEVARD SUITE G,ANCHORAGE,AK,99515,16,MINERAL METABOLISM,6,-,8,9
FMC COOK INLET,022507,-,9085 BLACKBERRY ST,ANCHORAGE,AK,99502,16,MINERAL METABOLISM,9,-,8,9
FMC SOLDOTNA,022508,-,289 N FIREWOOD LANE STE A,SOLDOTNA,AK,99669,16,MINERAL METABOLISM,9,-,8,9
