id,title,description,attribution,"data_fields.Publisher","data_fields.tags","data.data_organization","data.data_filename"
"0088362c-cc1a-405e-aa07-75de830651e0","Envista Projects for Utility Excavation and Paving","Envista Projects for Utility Excavation and Paving.  Envista is used by city agencies and private utilities to coordinate utility and paving work in public right of way.","Envista Projects for Utility Excavation and Paving (https://catalog.data.gov/dataset/0088362c-cc1a-405e-aa07-75de830651e0) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.sfgov.org","[""5_"",""construction"",""envista"",""excavation"",""five"",""noi"",""paving"",""plan"",""utilities"",""utility"",""year""]","[""City of San Francisco"",""City of San Francisco"",""City of San Francisco"",""City of San Francisco""]","[""0b7e2fbc09478e2bd20a0968522c7fd182822599e5c3e145c19f0ab525c2225c.text.csv"",""2432328b20a7e9362521d647b018bcd235d38a149dbb859e03cd9c15229ad52d.application.rdf+xml"",""1c94a9d94e81bd52612baf127f634aae89d799040213be5ff0b62b0d602e4592.application.json"",""c2b5dc88103face0e4f12087aebfa041c9eee8010173ed9a1accd8f595cf73df.text.xml""]"
"009216ed-5d09-46b7-9441-427f95f0a7a1","Percentage of Adults Who Report Driving After Drinking Too Much (in the past 30 days), 2012, Region 2 - New York","Source: Behavioral Risk Factor Surveillance System (BRFSS), 2012.","Percentage of Adults Who Report Driving After Drinking Too Much (in the past 30 days), 2012, Region 2 - New York (https://catalog.data.gov/dataset/009216ed-5d09-46b7-9441-427f95f0a7a1) is licensed under U.S. Government Work (http://www.usa.gov/publicdomain/label/1.0/)","Centers for Disease Control and Prevention","[""cdc"",""centers-for-disease-control-and-prevention""]","[""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services""]","[""d7c2a36dbb2d905ee70bbd8e46e510b7a92544f6ab8da66de8073c99925947b6.text.csv"",""d12a085754af957784349812621e563cd7a06059af3753214fc5951e8682b716.application.rdf+xml"",""f5bae546ad31ba9a187b5372175766c1cff9c79d44f3cbc646aef41b32f38e7f.application.json"",""01bd6edcfc1571f7e6c8435ee1f229c2297e1d6888e6d84d543dfb8c2d1cd66c.text.xml""]"
"00942ea0-2f79-47dd-b597-a510f1299577","Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - Facility","A list of ambulatory surgical center ratings for the Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey. The data are updated and reported each quarter with data from the most recently completed quarter replacing the oldest quarter of data. The data reporting period is included in the tables.","Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - Facility (https://catalog.data.gov/dataset/00942ea0-2f79-47dd-b597-a510f1299577) is licensed under U.S. Government Work (http://www.usa.gov/publicdomain/label/1.0/)","Centers for Medicare & Medicaid Services","[""hospital-compare"",""patientsurveyresults""]","[""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services""]","[""ad0d99b6606c88f21c2c30b3b69c0311299ae785f4f3fd1f9aa66f9b436d4e33.text.csv"",""744ad223e9e9bb4d97469d4aa90dea0a82ed7be8b4737a5064c715b7a97f335a.application.rdf+xml"",""c6b7a20ca743823098249f97044f84cff223d547f2dba7d720d4d76c389ae985.application.json""]"
"009db1c2-eacc-4b99-acfb-5b213f0d03b3","USDA Agricultural Research Service- Patented Crop Production and Crop Protection Technologies","Recent USDA/ARS patented technologies on crop production and protection that are available for licensing are described, including summary, contact, benefits, and applications. Updated June 2018.","USDA Agricultural Research Service- Patented Crop Production and Crop Protection Technologies (https://catalog.data.gov/dataset/009db1c2-eacc-4b99-acfb-5b213f0d03b3) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)","USDA NAL","[""attractants"",""bacterial"",""breeding"",""crops"",""equipment"",""fungal"",""infection"",""insects"",""irrigation"",""pesticides"",""plants"",""repellant"",""soil"",""sorghum"",""strains"",""subsoil"",""trees"",""virus""]","[""Department of Agriculture"",""Department of Agriculture""]","[""e89398cf5bb5f81185dfe6fe12f9a05b3e960bbe4a9133e945a4b3a81059ea62.text.csv"",""4912f33654b2720af297bf918fbfe21fd05fd3c7e107ddbb11e8525768ea537c.text.csv""]"
"00a11627-80d3-4b6b-bcd9-3947ae5b21cf","ESRD QIP – In-Center Hemodialysis Consumer Assessment Of Healthcare Providers And Services Systems (ICH CAHPS) Survey - Payment Year 2019","This dataset includes facility details, performance rate, measure score, and the state and national average scores for each of the ICH CAHPS survey metrics that are included in the composite measure, as well as the measure score and the state and national average scores for the overall ICH CAHPS measure included in the PY 2019 ESRD QIP.","ESRD QIP – In-Center Hemodialysis Consumer Assessment Of Healthcare Providers And Services Systems (ICH CAHPS) Survey - Payment Year 2019 (https://catalog.data.gov/dataset/00a11627-80d3-4b6b-bcd9-3947ae5b21cf) is licensed under U.S. Government Work (http://www.usa.gov/publicdomain/label/1.0/)","Centers for Medicare & Medicaid Services","[""dfc"",""dialysis"",""dialysis-facilities"",""linking-quality-to-payment--qip""]","[""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services""]","[""19690c49137f61b759dcdfc1208a6cfd4850f0089b605fd03496209122eef21f.text.csv"",""4369fef52ceebacbb7656f1a55343b30fae55edaad92c0919ae11e338161bb70.application.rdf+xml"",""d5669790c88d2f5dc7fcd0b0c1eaada07c34277ea843b92e37783bd9b13ff064.application.json"",""b613b0b8eeaaabb70ff45118d74d59df1260ba3e9c0da7ef00baf5c736b8cc3f.text.xml""]"
"00a195a9-53ec-4d03-9a24-538f79195277","Pothole Tracking","Potholes reported and filled by the the Department of Public works.","Pothole Tracking (https://catalog.data.gov/dataset/00a195a9-53ec-4d03-9a24-538f79195277) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.providenceri.gov","[""paving"",""safety"",""transportation""]","[""City of Providence"",""City of Providence"",""City of Providence"",""City of Providence""]","[""1e985f4ae5f898ec905025e9a62b044741eb0bb7bab78d65727400822cbd8134.text.csv"",""c423ca8e147865c24ddf0e8c0721d758643f3cf8d5e8cca02d7084f88e1324db.application.rdf+xml"",""cdca743c2a40fa569edc51a7e278ecb529bfdb7df76eb1d1f9fbb5ef231cfe85.application.json"",""2bf85b847be12be23352eb1d1704820d674e82f5a1222b9bd4c2c6799e01d5b6.text.xml""]"
"010c414f-8bb5-48cf-aeb9-bcbe6c44fbec","Abandoned Mines","This feature class was developed from historic mine maps that were scanned and georeferenced. Additional mine locations were derived from NDGS Biennial Reports (1902 and 1912), the USGS GeoCommunicator web site (National Mine Land Inventory layer), and USGS 7.5 Minute Quadrangles. Portions of the mine locations are not verified and portions of the mines may be the same mine but operated under a different name during different time periods. Metadata was not available for the data from the USGS GeoCommunicator web site and mine locations from this USGS data set appear to have significant variability compared to known mine site locations.
   Constraints:
   Not to be used for navigation, for informational purposes only. See full disclaimer for more information","Abandoned Mines (https://catalog.data.gov/dataset/010c414f-8bb5-48cf-aeb9-bcbe6c44fbec) is licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)","Public Service Commission","[""abandoned"",""environment"",""geoscience"",""location"",""mines"",""osm""]","[""State of North Dakota"",""State of North Dakota""]","[""a0960dc977164b79a574ea343809324bce812ffe48d4a7626a116afa2934e040.text.csv"",""2f74e4063b69ce4aa0187912cbb2aee7a5b128249e31fda08ece9073fc2a35f2.text.csv""]"
"010cba12-a29b-4a02-bfce-e030353f6bbf","SF Development Pipeline 2017 Q2","Snapshot of San Francisco Development Pipeline. Tracking of construction and entitlement activity based on data from Department of Building Inspection's Permit Tracking and the Planning Department's Project & Permit Tracking System, processed quarterly.  For more information please see http://sf-planning.org/pipeline-report","SF Development Pipeline 2017 Q2 (https://catalog.data.gov/dataset/010cba12-a29b-4a02-bfce-e030353f6bbf) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.sfgov.org","[""construction"",""development"",""housing"",""pipeline"",""planning""]","[""City of San Francisco"",""City of San Francisco"",""City of San Francisco"",""City of San Francisco""]","[""d1655ecced3cd37da2d8a82e7434d92d37635efd605022df7de1ec4ff82ca611.text.csv"",""f1268e364e743710cfc9ad2575ff4a7b0f619d5d020037e89690769a22c5a528.application.rdf+xml"",""c0c7c806a91e32b7b8f05106aea567f3ea4ff736f6cef97cf17562a6da049182.application.json"",""27098b7b799be236b4f215f0fc9254df3b71fd6daa24305820042447093f0d6f.text.xml""]"
"011085f4-9c7f-4bef-90bf-110750469752","2014 Registered Foreclosure Properties","The 2014 Foreclosure Properties registered at HCIDLA between 1/1/2014 and 12/31/2014.","2014 Registered Foreclosure Properties (https://catalog.data.gov/dataset/011085f4-9c7f-4bef-90bf-110750469752) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)","data.lacity.org","[""2014"",""foreclosure"",""hcidla""]","[""City of Los Angeles"",""City of Los Angeles"",""City of Los Angeles"",""City of Los Angeles""]","[""9bfb1d18170ebebe838a3ff0aa2da45c1442f48f78b2c68c99169b8fe040403c.text.csv"",""c500fc4f5eab7f67b7b379f2ccf7913c01fa78766ee53bd8df19f027336d5536.application.rdf+xml"",""483a5d389101127218d1ae4005eed6ec145b11907eb478f1121a19cf6dbcf2ff.application.json"",""fcb38f4ad0edfd9bec663efc644b9ba102b43e480c0a05ee05e17f39a6116cc8.text.xml""]"
"015176bf-b144-4884-a0dd-f06da5312dbc","Data from: Changes in genetic selection differentials and generation intervals in US Holstein dairy cattle as a result of genomic selection","Aggregate means for six traits (milk, fat, and protein yields, somatic cell score, length of productive life, and daughter pregnancy rate)","Data from: Changes in genetic selection differentials and generation intervals in US Holstein dairy cattle as a result of genomic selection (https://catalog.data.gov/dataset/015176bf-b144-4884-a0dd-f06da5312dbc) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)","USDA NAL","[""bulls"",""cows"",""dairy-cattle"",""genetic-improvement"",""genetic-traits"",""genetic-trend"",""heritability"",""holstein"",""marker-assisted-selection"",""milk"",""np101"",""sires""]","[""Department of Agriculture"",""Department of Agriculture"",""Department of Agriculture"",""Department of Agriculture"",""Department of Agriculture"",""Department of Agriculture"",""Department of Agriculture""]","[""98ce9727dca72dc7e3092edecefd7cc9abd4b01df06ee08e44b05f9caeebbefd.text.csv"",""96cfa7899dd95d27d49240be36665790181a3c70622bd2a347825781f23d15d1.text.csv"",""98cb4a27aa64896cdd382f0feca306ea4b75cdba749484777d858311ed6c612f.text.csv"",""8c9537601542125bad1eeb56e79e5738eaec2d5c3e274cb5c2cd05d650af2a2b.text.csv"",""bf7ab48ae25613ba77247822c194948416470186bec9e0524812848a5ea49e8a.text.csv"",""db559c07f3abec1d82407a2cf760305f6f10b0ff0cc146e2841167398b31dabd.text.csv"",""8d1b91e2b21dd7f3cc3454359dc2c6dba9620aa0a9da24baaea618b9b32c082d.text.csv""]"
"01722181-bce2-4796-94b4-1d46b594191d","Clinical Episode-Based Payment - National","The 6 Clinical Episode-Based Payment (CEBP) Measures (Conditions: Cellulitis, Kidney/Urinary Tract Infection, Gastrointestinal Hemorrhage; Procedures: Aortic Aneurysm, Spinal Fusion, Cholecystectomy and Common Duct Exploration) show whether Medicare spends more, less, or about the same on an episode of care for a Medicare patient treated in a specific inpatient hospital compared to how much Medicare spends on an episode of care for the respective condition or procedure across all inpatient hospitals nationally. This measure takes into account important factors like patient age and health status (risk adjustment) and geographic payment differences (payment-standardization).","Clinical Episode-Based Payment - National (https://catalog.data.gov/dataset/01722181-bce2-4796-94b4-1d46b594191d) is licensed under U.S. Government Work (http://www.usa.gov/publicdomain/label/1.0/)","Centers for Medicare & Medicaid Services","[""clinical-episode-based-payment"",""hospital-compare"",""medicare-payment"",""payment-and-value-of-care""]","[""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services"",""U.S. Department of Health & Human Services""]","[""86fe8357e861853c04e92ec55a41f18e022205705a85da5dbe93e2fd990f1460.text.csv"",""f6e023245f094a481051e54d790aaa9260a24421e9e738323b01f7e19210cb8b.application.rdf+xml"",""0b9e1204cd216863363c8a0f4be6817a7d7801a9c6e90bf225cd067f20dc6c68.application.json""]"
"017564b7-face-4952-a719-1af4831d4c70","Sandhill Crane Units","This data layer depicts North Dakota Game and Fish Department Sandhill Crane Units.
   The purpose of the data is to provide a comprehensive list and spatial location of North Dakota Sandhill Crane Units. This dataset is primarily used as a framework data layer for use in GIS and other mapping applications and does not represent a land survey of the hunting units.
   Constraints:
   Not to be used for navigation, for informational purposes only. See Game and Fish disclaimer for more information.","Sandhill Crane Units (https://catalog.data.gov/dataset/017564b7-face-4952-a719-1af4831d4c70) is licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)","Game and Fish Department","[""boundary"",""environment"",""hunting"",""ndgf""]","State of North Dakota","6f99160ce12fa744a0ee645c6538845de3776411c863300cf64b024edfddcd14.text.csv"
"01a01139-a6d4-4247-a16f-3d88cb27b577","Historic Zoning","Polygon layer that illustrates the zoning description of parcels before the comprehensive zoning ordinance was enacted on August 12, 2015. Saved and published as a snapshot of the former zoning ordinance.","Historic Zoning (https://catalog.data.gov/dataset/01a01139-a6d4-4247-a16f-3d88cb27b577) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)","data.nola.gov","[""historic"",""old"",""prior""]","[""City of New Orleans"",""City of New Orleans""]","[""e660635892a9a80afb7fede5acda8f1f73505b23fe0cc8c29f8d151e3d06d7f4.application.json"",""3c693b8f292068e986c9c254c1152c9e8006981f70660b2ff377c92881d52e8b.text.csv""]"
"01d2a81d-0827-4576-a318-2b33833648e6","Zoning Map - Zoning Districts","Zoning Districts City and County of San Francisco Planning Department. The Zoning Districts are the main component of the Zoning Map. The Zoning Map comprises: - Zoning Districts - Height and Bulk Districts - Special Use Districts - Preservation Districts - Coastal Zone Area - Special Sign Districts The official Zoning Map can be found in the San Francisco Planning Code: http://library.municode.com/index.aspx?clientId=14145&stateId=5&stateName=California (click on the links under ZONING MAPS on the left navigation column). Summaries of the Zoning District codes can be found here: http://www.sf-planning.org/index.aspx?page=1580 Section 105 of the Planning Code states: ""The designations, locations and boundaries of the districts established by this Code shall be shown upon the ""Zoning Map of the City and County of San Francisco,"" which shall consist of a series of numbered sectional maps. Wherever any uncertainty exists as to the boundary of any district as shown on said sectional maps, the following rules shall apply: (a) Where boundary lines are indicated as following streets and alleys within the right-of-way, they shall be construed as following the centerlines of such streets and alleys; (b) Where boundary lines are indicated as approximately following lot lines, such lot lines shall be construed to be such boundaries; (c) Where a boundary line divides a lot or crosses unsubdivided property; the location of such boundary shall be as indicated upon the Zoning Map using the scale appearing on such map; (d) Where further uncertainty exists, the City Planning Commission upon written application, or on its own motion, shall by resolution determine the location of a disputed boundary giving due consideration to the apparent indicated location thereof and the scale of the Zoning Map and the express purposes of this Code; (e) Wherever any property is not under these rules specifically included in any use district shown on the Zoning Map, such property is hereby declared to be in an RH-1(D) District, except that all property owned on the effective date of this amendment by the United States of America, State of California, City and County of San Francisco, or other governmental agency and within the City and County of San Francisco but not within the area covered by Sectional Maps Nos. 1 through 13 of the Zoning Map is hereby declared to be in a P (Public Use) District unless reclassified in accordance with the provisions of this Code; (f) Wherever any property is not under these rules specifically included in any height and bulk district shown on the Zoning Map, such property is hereby declared to be in a 40-X height and bulk district, except that all property owned on the effective date of this amendment by the United States of America, State of California, City and County of San Francisco, or other governmental agency and within the City and County of San Francisco but not within the area covered by Sectional Maps Nos. 1H through 13H of the Zoning Map is hereby declared to be in an OS (Open Space) District unless reclassified in accordance with the provisions of this Code, with the exception of Yerba Buena Island and Treasure Island which are hereby declared to be in a 40-X height and bulk district.""Updated quarterly.","Zoning Map - Zoning Districts (https://catalog.data.gov/dataset/01d2a81d-0827-4576-a318-2b33833648e6) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.sfgov.org","[]","[""City of San Francisco"",""City of San Francisco""]","[""aac173008e04c6b416502588a4fe3d28cc8fc5b46ffe7e774df0afdf59b6fc61.application.json"",""2509d21192365267c82cb4004e485aae1015caaa60ab15b29462ebbf0bb0453e.text.csv""]"
